Timestamp,Environment,Scenario,Mode,PrimaryChannel,PrimaryBand,PrimaryWidth_MHz,PrimaryLinkRate_Mbps,SecondaryChannel,SecondaryBand,SecondaryWidth_MHz,SecondaryLinkRate_Mbps,PrimaryCCI,PrimaryACI,PrimaryNeighbors,SecondaryCCI,SecondaryACI,SecondaryNeighbors,Streams,Throughput_Mbps,Retransmits,Run,Distance,Material,PartitionAmount,PartitionThickness,Connection,PrimaryRSSI,SecondaryRSSI
3/4/2026 20:58,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,95.69,0,4,1.5,,0,0,Wireless,-36,
3/4/2026 20:58,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,92.79,0,5,1.5,,0,0,Wireless,-36,
3/4/2026 20:59,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,97.29,0,6,1.5,,0,0,Wireless,-36,
3/4/2026 20:59,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,92.47,0,7,1.5,,0,0,Wireless,-36,
3/4/2026 21:00,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,105.44,0,8,1.5,,0,0,Wireless,-36,
3/4/2026 21:01,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,97.4,0,9,1.5,,0,0,Wireless,-36,
3/4/2026 21:01,Uni-LOS,1.5m Uni LOS 2.4GHz Wireless,Standard,7,2.4GHz,20,344,,,,,0,0,6,,,,4,94.82,0,10,1.5,,0,0,Wireless,-36,
3/4/2026 21:04,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,232.35,0,1,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:05,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,212.86,0,2,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:06,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,151.04,0,3,1.5,,0,0,Wireless,-6,-34
3/4/2026 21:06,Uni-LOS,1.5m Uni LOS MLO Wireless,MLO,157,5GHz,80,1441,5,6GHz,160,1441,0,0,6,0,0,6,8,247.87,0,4,1.5,,0,0,Wireless,-6,-34
